player_name,age,position,fee,fee_cleaned,year,club_name,club_involved_name,transfer_movement
Aaron Hughes,25.0,Centre-Back,£1.35m,1.35,2005,Aston Villa,Newcastle,in
Aaron Hughes,25.0,Centre-Back,£1.35m,1.35,2005,Newcastle United,Aston Villa,out
Aaron Hughes,27.0,Centre-Back,£1.35m,1.35,2007,Aston Villa,Fulham,out
Aaron Hughes,27.0,Centre-Back,£1.35m,1.35,2007,Fulham FC,Aston Villa,in
Aaron Hughes,34.0,Centre-Back,Free transfer,0.0,2014,Brighton & Hove Albion,QPR,in
Aaron Hughes,34.0,Centre-Back,Free transfer,0.0,2014,Queens Park Rangers,Brighton,out
Aaron Lennon,18.0,Right Winger,£1.08m,1.08,2005,Leeds United,Spurs,out
Aaron Lennon,18.0,Right Winger,£1.08m,1.08,2005,Tottenham Hotspur,Leeds,in
Aaron Lennon,27.0,Right Winger,Loan,0.0,2014,Everton FC,Spurs,in
Aaron Lennon,27.0,Right Winger,Loan,0.0,2014,Tottenham Hotspur,Everton,out
Aaron Lennon,28.0,Right Winger,"End of loanMay 31, 2015",0.0,2014,Everton FC,Spurs,out
Aaron Lennon,28.0,Right Winger,"End of loanMay 31, 2015",0.0,2014,Tottenham Hotspur,Everton,in
Aaron Lennon,28.0,Right Winger,£5.40m,5.4,2015,Tottenham Hotspur,Everton,out
Aaron Lennon,28.0,Right Winger,£5.40m,5.4,2015,Everton FC,Spurs,in
Aaron Lennon,30.0,Right Winger,£1.53m,1.53,2017,Everton FC,Burnley,out
Aaron Lennon,30.0,Right Winger,£1.53m,1.53,2017,Burnley FC,Everton,in
Aaron Mooy,25.0,Central Midfield,Loan,0.0,2016,Huddersfield Town,Man City,in
Aaron Mooy,25.0,Central Midfield,Loan,0.0,2016,Manchester City,Huddersfield,out
Aaron Mooy,26.0,Central Midfield,"End of loanMay 31, 2017",0.0,2016,Huddersfield Town,Man City,out
Aaron Mooy,26.0,Central Midfield,"End of loanMay 31, 2017",0.0,2016,Manchester City,Huddersfield,in
Aaron Mooy,26.0,Central Midfield,£8.19m,8.19,2017,Manchester City,Huddersfield,out
Aaron Mooy,26.0,Central Midfield,£8.19m,8.19,2017,Huddersfield Town,Man City,in
Aaron Mooy,28.0,Central Midfield,Loan,0.0,2019,Huddersfield Town,Brighton,out
Aaron Mooy,28.0,Central Midfield,Loan,0.0,2019,Brighton & Hove Albion,Huddersfield,in
Aaron Mooy,29.0,Central Midfield,"End of loanJan 23, 2020",0.0,2019,Huddersfield Town,Brighton,in
Aaron Mooy,29.0,Central Midfield,"End of loanJan 23, 2020",0.0,2019,Brighton & Hove Albion,Huddersfield,out
Aaron Mooy,29.0,Central Midfield,£2.97m,2.97,2019,Huddersfield Town,Brighton,out
Aaron Mooy,29.0,Central Midfield,£2.97m,2.97,2019,Brighton & Hove Albion,Huddersfield,in
Abdelaziz Ahanfouf,21.0,Centre-Forward,£113Th.,0.113,1999,FC Hansa Rostock,Unterhaching,in
Abdelaziz Ahanfouf,21.0,Centre-Forward,£113Th.,0.113,1999,SpVgg Unterhaching,Hansa Rostock,out
Abdelaziz Ahanfouf,22.0,Centre-Forward,£113Th.,0.113,2000,SpVgg Unterhaching,Hansa Rostock,in
Abdelaziz Ahanfouf,22.0,Centre-Forward,£113Th.,0.113,2000,FC Hansa Rostock,Unterhaching,out
Abdeslam Ouaddou,24.0,Centre-Back,Loan,0.0,2003,Fulham FC,Stade Rennais,out
Abdeslam Ouaddou,24.0,Centre-Back,Loan,0.0,2003,Stade Rennais FC,Fulham,in
Abdeslam Ouaddou,25.0,Centre-Back,"End of loanJun 30, 2004",0.0,2004,Fulham FC,Stade Rennais,in
Abdeslam Ouaddou,25.0,Centre-Back,"End of loanJun 30, 2004",0.0,2004,Stade Rennais FC,Fulham,out
Abdeslam Ouaddou,29.0,Centre-Back,£2.88m,2.88,2008,AS Nancy-Lorraine,Valenciennes FC,in
Abdeslam Ouaddou,29.0,Centre-Back,£2.88m,2.88,2008,Valenciennes FC,AS Nancy,out
Abdeslam Ouaddou,34.0,Centre-Back,-,0.0,2012,AS Nancy-Lorraine,Without Club,in
Abdeslam Ouaddou,34.0,Centre-Back,-,0.0,2012,AS Nancy-Lorraine,Retired,out
Abdou Diallo,21.0,Centre-Back,£4.50m,4.5,2017,AS Monaco,1.FSV Mainz 05,out
Abdou Diallo,21.0,Centre-Back,£4.50m,4.5,2017,1.FSV Mainz 05,Monaco,in
Abdou Diallo,22.0,Centre-Back,£25.20m,25.2,2018,Borussia Dortmund,1.FSV Mainz 05,in
Abdou Diallo,22.0,Centre-Back,£25.20m,25.2,2018,1.FSV Mainz 05,Bor. Dortmund,out
Abdou Diallo,23.0,Centre-Back,£28.80m,28.8,2019,Paris Saint-Germain,Bor. Dortmund,in
Abdou Diallo,23.0,Centre-Back,£28.80m,28.8,2019,Borussia Dortmund,Paris SG,out
Abdoul Camara,21.0,Left Winger,£1.35m,1.35,2011,Stade Rennais FC,FC Sochaux,out
Abdoul Camara,21.0,Left Winger,£1.35m,1.35,2011,FC Sochaux-Montbéliard,Stade Rennais,in
Abdoul Camara,25.0,Left Winger,£1.53m,1.53,2015,Derby County,SCO Angers,in
Abdoul Camara,25.0,Left Winger,£1.53m,1.53,2015,SCO Angers,Derby,out
Abdoul Camara,27.0,Left Winger,Free transfer,0.0,2017,Derby County,Guingamp,out
Abdoul Camara,27.0,Left Winger,Free transfer,0.0,2017,EA Guingamp,Derby,in
Abdoulay Konko,24.0,Right-Back,£7.65m,7.65,2008,Genoa CFC,Sevilla FC,out
Abdoulay Konko,24.0,Right-Back,£7.65m,7.65,2008,Sevilla FC,Genoa,in
Abdoulay Konko,26.0,Right-Back,£5.40m,5.4,2010,Genoa CFC,Sevilla FC,in
Abdoulay Konko,26.0,Right-Back,£5.40m,5.4,2010,Sevilla FC,Genoa,out
