year,overall_rating,player_name
2007,63.0,"Patryk Rachwal,18"
2008,60.0,"Patryk Rachwal,18"
2010,60.0,"Patryk Rachwal,18"
2011,58.5,"Patryk Rachwal,18"
2012,58.0,"Patryk Rachwal,18"
2013,60.0,"Patryk Rachwal,18"
2014,61.0,"Patryk Rachwal,18"
2015,61.0,"Patryk Rachwal,18"
2007,62.0,Diego Mainz
2008,65.0,Diego Mainz
2010,65.0,Diego Mainz
2011,68.0,Diego Mainz
2012,70.0,Diego Mainz
2013,70.75,Diego Mainz
2014,72.0,Diego Mainz
2015,71.25,Diego Mainz
2007,56.0,Jose Dorado
2008,56.0,Jose Dorado
2009,58.0,Jose Dorado
2010,67.5,Jose Dorado
2011,72.5,Jose Dorado
2012,71.5,Jose Dorado
2013,71.4,Jose Dorado
2014,73.0,Jose Dorado
2015,75.0,Jose Dorado
2016,74.5,Jose Dorado
2007,73.0,Ignacio Gonzalez
2008,69.0,Ignacio Gonzalez
2009,70.0,Ignacio Gonzalez
2010,72.0,Ignacio Gonzalez
2011,73.0,Ignacio Gonzalez
2012,70.5,Ignacio Gonzalez
2013,70.2,Ignacio Gonzalez
2007,70.0,Alberto Rey
2008,71.0,Alberto Rey
2009,73.0,Alberto Rey
2010,67.0,Alberto Rey
2007,60.0,Javier Jimenez
2010,60.0,Javier Jimenez
2011,60.0,Javier Jimenez
2012,63.0,Javier Jimenez
2013,65.0,Javier Jimenez
2014,67.0,Javier Jimenez
2015,67.0,Javier Jimenez
2016,69.0,Javier Jimenez
2007,67.0,Pablo Hernandez
2008,78.0,Pablo Hernandez
2009,79.0,Pablo Hernandez
2010,81.0,Pablo Hernandez
2011,81.0,Pablo Hernandez
2012,76.0,Pablo Hernandez
2013,76.0,Pablo Hernandez
2014,76.0,Pablo Hernandez
2015,76.0,Pablo Hernandez
2007,60.0,Ruben Perez
2008,60.0,Ruben Perez
2009,60.0,Ruben Perez
2010,72.0,Ruben Perez
2011,72.5,Ruben Perez
2012,71.0,Ruben Perez
2013,73.83333333333333,Ruben Perez
2014,74.75,Ruben Perez
2015,74.88888888888889,Ruben Perez
2016,76.0,Ruben Perez
2007,70.0,Ivan Perez
2009,70.0,Ivan Perez
2010,70.5,Ivan Perez
2011,63.0,Ivan Perez
2013,63.0,Ivan Perez
2014,65.0,Ivan Perez
2007,75.5,Vicente Sanchez
2008,76.0,Vicente Sanchez
2009,75.0,Vicente Sanchez
2010,75.0,Vicente Sanchez
2011,75.0,Vicente Sanchez
2013,74.5,Vicente Sanchez
2014,71.77777777777777,Vicente Sanchez
2015,71.0909090909091,Vicente Sanchez
2007,56.5,Gregory Lacombe
2008,59.0,Gregory Lacombe
2009,63.0,Gregory Lacombe
2010,65.0,Gregory Lacombe
2011,67.5,Gregory Lacombe
2012,66.5,Gregory Lacombe
2013,65.0,Gregory Lacombe
2007,66.5,Ugur Inceman
2008,71.0,Ugur Inceman
2009,70.5,Ugur Inceman
2010,69.0,Ugur Inceman
2011,69.0,Ugur Inceman
2014,69.0,Ugur Inceman
2015,68.66666666666667,Ugur Inceman
2016,68.0,Ugur Inceman
2007,82.0,David Rivas Rodriguez
2008,76.0,David Rivas Rodriguez
2009,71.0,David Rivas Rodriguez
2010,64.0,David Rivas Rodriguez
2012,63.5,David Rivas Rodriguez
2013,62.0,David Rivas Rodriguez
2007,64.0,Jorge Molina
2009,64.0,Jorge Molina
2010,70.5,Jorge Molina
2011,73.0,Jorge Molina
2012,72.5,Jorge Molina
2013,74.6,Jorge Molina
2014,73.75,Jorge Molina
2015,74.5,Jorge Molina
2007,65.0,Sergio Aragones
2008,67.0,Sergio Aragones
2009,73.0,Sergio Aragones
2010,74.0,Sergio Aragones
2011,65.0,Sergio Aragones
2013,65.0,Sergio Aragones
2007,65.5,Alexandre Hauw
2008,63.0,Alexandre Hauw
2009,69.0,Alexandre Hauw
2010,66.0,Alexandre Hauw
2011,66.0,Alexandre Hauw
2007,75.0,Marat Izmailov
2008,72.0,Marat Izmailov
2009,75.0,Marat Izmailov
2010,78.5,Marat Izmailov
2011,79.5,Marat Izmailov
2012,80.5,Marat Izmailov
2013,79.23076923076923,Marat Izmailov
2014,74.33333333333333,Marat Izmailov
2015,73.0,Marat Izmailov
2007,56.0,Kelly Berville
2008,56.0,Kelly Berville
2009,67.0,Kelly Berville
2007,61.0,Abdelmalek Cherrad
2008,61.0,Abdelmalek Cherrad
2009,62.0,Abdelmalek Cherrad
2010,62.0,Abdelmalek Cherrad
2007,70.0,Oscar Sanchez
2008,71.0,Oscar Sanchez
2009,66.5,Oscar Sanchez
2010,61.0,Oscar Sanchez
2011,61.0,Oscar Sanchez
2012,66.5,Oscar Sanchez
2013,67.25,Oscar Sanchez
2007,62.0,Vincent Euvrard
2009,62.0,Vincent Euvrard
2010,64.0,Vincent Euvrard
2011,64.0,Vincent Euvrard
2012,64.0,Vincent Euvrard
2007,44.0,Luca Belingheri
2008,59.0,Luca Belingheri
2009,59.0,Luca Belingheri
2010,67.0,Luca Belingheri
2011,67.0,Luca Belingheri
2012,66.0,Luca Belingheri
2013,68.9,Luca Belingheri
2014,69.57142857142857,Luca Belingheri
2015,68.57142857142857,Luca Belingheri
2007,66.0,Aleksander Radosavljevic
2009,66.0,Aleksander Radosavljevic
2010,66.0,Aleksander Radosavljevic
2011,70.0,Aleksander Radosavljevic
2012,68.0,Aleksander Radosavljevic
2013,65.5,Aleksander Radosavljevic
2007,66.0,Peter Halmosi
2008,73.0,Peter Halmosi
2009,74.5,Peter Halmosi
2010,72.0,Peter Halmosi
2011,70.5,Peter Halmosi
2012,68.0,Peter Halmosi
2013,66.5,Peter Halmosi
2007,81.0,Alexandr Kerzhakov
2008,79.0,Alexandr Kerzhakov
2009,80.0,Alexandr Kerzhakov
2010,79.5,Alexandr Kerzhakov
2011,80.5,Alexandr Kerzhakov
2012,81.5,Alexandr Kerzhakov
2013,79.75,Alexandr Kerzhakov
2014,76.0,Alexandr Kerzhakov
2015,76.0,Alexandr Kerzhakov
2016,76.5,Alexandr Kerzhakov
2007,83.0,Andrey Arshavin
2008,84.0,Andrey Arshavin
2009,84.0,Andrey Arshavin
2010,85.5,Andrey Arshavin
2011,83.0,Andrey Arshavin
2012,81.0,Andrey Arshavin
2013,78.83333333333333,Andrey Arshavin
2014,75.66666666666667,Andrey Arshavin
2015,75.0,Andrey Arshavin
2016,75.0,Andrey Arshavin
2007,65.0,Lee Wilkie
2008,72.0,Lee Wilkie
2009,72.5,Lee Wilkie
2007,65.0,Boban Grncarov
2011,65.0,Boban Grncarov
2012,66.0,Boban Grncarov
2007,71.5,Iriney
2008,71.5,Iriney
2009,72.0,Iriney
2010,71.0,Iriney
2011,73.5,Iriney
2012,76.5,Iriney
2013,75.14285714285714,Iriney
2014,71.5,Iriney
2007,60.0,Tim Clancy
2008,62.0,Tim Clancy
2009,62.0,Tim Clancy
2010,64.0,Tim Clancy
2011,62.0,Tim Clancy
2012,62.0,Tim Clancy
2013,60.0,Tim Clancy
2014,58.0,Tim Clancy
2015,57.4,Tim Clancy
2016,57.0,Tim Clancy
2007,57.0,Sebastian Olszar
2009,57.0,Sebastian Olszar
2010,59.0,Sebastian Olszar
2011,57.0,Sebastian Olszar
2012,57.0,Sebastian Olszar
2015,57.0,Sebastian Olszar
2007,64.0,Ibrahim Sidibe
2012,64.0,Ibrahim Sidibe
2013,64.5,Ibrahim Sidibe
2014,65.0,Ibrahim Sidibe
2015,65.0,Ibrahim Sidibe
2016,65.0,Ibrahim Sidibe
2007,63.0,Jeroen Verhoeven
2008,63.0,Jeroen Verhoeven
2009,65.0,Jeroen Verhoeven
2010,68.0,Jeroen Verhoeven
2011,67.5,Jeroen Verhoeven
2012,67.0,Jeroen Verhoeven
2013,66.5,Jeroen Verhoeven
2014,65.0,Jeroen Verhoeven
2007,61.0,Wilko de Vogt
2010,61.0,Wilko de Vogt
2011,61.0,Wilko de Vogt
2012,61.0,Wilko de Vogt
2013,61.0,Wilko de Vogt
2007,63.0,Sander Duits
2011,63.0,Sander Duits
2012,65.0,Sander Duits
2013,67.5,Sander Duits
2014,67.75,Sander Duits
2007,62.0,Gudmundur Steinarsson
2009,62.0,Gudmundur Steinarsson
2007,70.0,Manuel Silas
2009,72.0,Manuel Silas
2010,72.0,Manuel Silas
2007,54.0,Remy Gomis
2008,61.0,Remy Gomis
2009,70.0,Remy Gomis
2010,71.0,Remy Gomis
2011,71.0,Remy Gomis
2012,72.5,Remy Gomis
2013,70.33333333333333,Remy Gomis
2014,68.8,Remy Gomis
2015,71.66666666666667,Remy Gomis
2016,71.0,Remy Gomis
2007,75.5,Laurent Batlles
2008,72.0,Laurent Batlles
2009,71.0,Laurent Batlles
2010,71.0,Laurent Batlles
2011,71.5,Laurent Batlles
2012,73.0,Laurent Batlles
2007,62.0,Raffaele Rubino
2010,62.0,Raffaele Rubino
2011,62.5,Raffaele Rubino
2012,61.5,Raffaele Rubino
2013,61.0,Raffaele Rubino
2014,62.0,Raffaele Rubino
2007,69.5,Iban Javier Cuadrado
2008,67.0,Iban Javier Cuadrado
2009,73.0,Iban Javier Cuadrado
2010,65.5,Iban Javier Cuadrado
2007,70.0,Julio Alvarez
2008,75.0,Julio Alvarez
2009,75.0,Julio Alvarez
2010,75.5,Julio Alvarez
2011,68.0,Julio Alvarez
2012,69.0,Julio Alvarez
2013,69.0,Julio Alvarez
2014,68.0,Julio Alvarez
2015,69.0,Julio Alvarez
2016,69.0,Julio Alvarez
2007,67.0,Perez Richi
2008,66.0,Perez Richi
2009,64.0,Perez Richi
2011,64.0,Perez Richi
2012,64.0,Perez Richi
2007,56.0,Gary Coulibaly
2009,56.0,Gary Coulibaly
2010,60.0,Gary Coulibaly
2011,66.0,Gary Coulibaly
2012,66.0,Gary Coulibaly
2013,65.0,Gary Coulibaly
2014,65.8,Gary Coulibaly
2015,66.66666666666667,Gary Coulibaly
2016,67.0,Gary Coulibaly
2007,60.0,"Ifet Taljevic,23"
2008,60.0,"Ifet Taljevic,23"
2010,60.0,"Ifet Taljevic,23"
2007,65.0,Marjan Petkovic
2008,65.0,Marjan Petkovic
2009,66.0,Marjan Petkovic
2011,66.0,Marjan Petkovic
2012,65.5,Marjan Petkovic
2013,66.5,Marjan Petkovic
2014,66.0,Marjan Petkovic
2015,65.0,Marjan Petkovic
2007,62.0,Freddy Mombongo-Dues
2010,62.0,Freddy Mombongo-Dues
2011,60.5,Freddy Mombongo-Dues
2007,66.5,Yann Jouffre
2008,65.0,Yann Jouffre
2009,66.0,Yann Jouffre
2010,67.0,Yann Jouffre
2011,74.0,Yann Jouffre
2012,74.0,Yann Jouffre
2013,74.42857142857143,Yann Jouffre
2014,75.0,Yann Jouffre
2015,74.0,Yann Jouffre
2016,75.0,Yann Jouffre
2007,68.0,Bertrand Robert
2008,67.0,Bertrand Robert
2011,67.0,Bertrand Robert
2012,68.0,Bertrand Robert
2007,57.0,Jeremy Blayac
2008,57.0,Jeremy Blayac
2009,67.0,Jeremy Blayac
2010,68.0,Jeremy Blayac
2011,67.5,Jeremy Blayac
2012,66.5,Jeremy Blayac
2013,68.0,Jeremy Blayac
2014,65.75,Jeremy Blayac
2007,60.0,Dimitri Bulykin
2008,65.5,Dimitri Bulykin
2009,68.5,Dimitri Bulykin
2010,65.0,Dimitri Bulykin
2011,72.0,Dimitri Bulykin
2012,72.0,Dimitri Bulykin
2013,69.6,Dimitri Bulykin
2007,63.0,Gerry Koning
2008,63.0,Gerry Koning
2009,65.0,Gerry Koning
2010,64.0,Gerry Koning
2011,65.0,Gerry Koning
2007,66.0,Rowin van Zaanen
2008,66.0,Rowin van Zaanen
2009,66.0,Rowin van Zaanen
2010,66.0,Rowin van Zaanen
2011,64.0,Rowin van Zaanen
2007,50.0,Kees Kwakman
2008,50.0,Kees Kwakman
2009,70.0,Kees Kwakman
2010,71.0,Kees Kwakman
2011,71.0,Kees Kwakman
2012,69.5,Kees Kwakman
2013,68.0,Kees Kwakman
2014,67.0,Kees Kwakman
2007,63.0,Charles Dissels
2008,65.0,Charles Dissels
2009,65.0,Charles Dissels
2010,65.0,Charles Dissels
2007,63.5,Otman Bakkal
2008,73.0,Otman Bakkal
2009,74.0,Otman Bakkal
2010,74.5,Otman Bakkal
2011,73.0,Otman Bakkal
2012,73.0,Otman Bakkal
2013,70.66666666666667,Otman Bakkal
2014,69.5,Otman Bakkal
2007,66.0,Diederik Boer
2012,66.0,Diederik Boer
2013,67.0,Diederik Boer
2014,69.25,Diederik Boer
2015,70.0,Diederik Boer
2007,60.0,Denis Dessaer
2013,60.0,Denis Dessaer
2014,60.0,Denis Dessaer
2007,60.0,Oliver Vinamont
2010,60.0,Oliver Vinamont
2011,60.0,Oliver Vinamont
2007,60.0,Roel van Hemert
2010,60.0,Roel van Hemert
2012,60.0,Roel van Hemert
2007,62.0,Jonas Ivens
2008,63.0,Jonas Ivens
2009,64.0,Jonas Ivens
2010,67.0,Jonas Ivens
2011,68.0,Jonas Ivens
