year,overall_rating,player_name,z
2015,75.0,Jose Dorado,1.0574079516313457
2008,78.0,Pablo Hernandez,1.4655975481650154
2009,79.0,Pablo Hernandez,1.601660747009572
2010,81.0,Pablo Hernandez,1.8737871446986851
2011,81.0,Pablo Hernandez,1.8737871446986851
2012,76.0,Pablo Hernandez,1.1934711504759021
2013,76.0,Pablo Hernandez,1.1934711504759021
2014,76.0,Pablo Hernandez,1.1934711504759021
2015,76.0,Pablo Hernandez,1.1934711504759021
2014,74.75,Ruben Perez,1.0233921519202065
2015,74.88888888888889,Ruben Perez,1.0422898184263945
2016,76.0,Ruben Perez,1.1934711504759021
2007,75.5,Vicente Sanchez,1.125439551053624
2008,76.0,Vicente Sanchez,1.1934711504759021
2009,75.0,Vicente Sanchez,1.0574079516313457
2010,75.0,Vicente Sanchez,1.0574079516313457
2011,75.0,Vicente Sanchez,1.0574079516313457
2007,82.0,David Rivas Rodriguez,2.0098503435432415
2008,76.0,David Rivas Rodriguez,1.1934711504759021
2013,74.6,Jorge Molina,1.0029826720935222
2007,75.0,Marat Izmailov,1.0574079516313457
2009,75.0,Marat Izmailov,1.0574079516313457
2010,78.5,Marat Izmailov,1.5336291475872936
2011,79.5,Marat Izmailov,1.6696923464318503
2012,80.5,Marat Izmailov,1.805755545276407
2013,79.23076923076923,Marat Izmailov,1.6330599467429305
2007,81.0,Alexandr Kerzhakov,1.8737871446986851
2008,79.0,Alexandr Kerzhakov,1.601660747009572
2009,80.0,Alexandr Kerzhakov,1.7377239458541285
2010,79.5,Alexandr Kerzhakov,1.6696923464318503
2011,80.5,Alexandr Kerzhakov,1.805755545276407
2012,81.5,Alexandr Kerzhakov,1.9418187441209633
2013,79.75,Alexandr Kerzhakov,1.7037081461429895
2014,76.0,Alexandr Kerzhakov,1.1934711504759021
2015,76.0,Alexandr Kerzhakov,1.1934711504759021
2016,76.5,Alexandr Kerzhakov,1.2615027498981806
2007,83.0,Andrey Arshavin,2.1459135423877984
2008,84.0,Andrey Arshavin,2.281976741232355
2009,84.0,Andrey Arshavin,2.281976741232355
2010,85.5,Andrey Arshavin,2.4860715394991897
2011,83.0,Andrey Arshavin,2.1459135423877984
2012,81.0,Andrey Arshavin,1.8737871446986851
2013,78.83333333333333,Andrey Arshavin,1.5789835472021452
2014,75.66666666666667,Andrey Arshavin,1.1481167508610506
2015,75.0,Andrey Arshavin,1.0574079516313457
2016,75.0,Andrey Arshavin,1.0574079516313457
2012,76.5,Iriney,1.2615027498981806
2013,75.14285714285714,Iriney,1.0768455514662818
2007,75.5,Laurent Batlles,1.125439551053624
2008,75.0,Julio Alvarez,1.0574079516313457
2009,75.0,Julio Alvarez,1.0574079516313457
2010,75.5,Julio Alvarez,1.125439551053624
2014,75.0,Yann Jouffre,1.0574079516313457
2016,75.0,Yann Jouffre,1.0574079516313457
2007,75.0,Fabian Vargas,1.0574079516313457
2008,75.0,Fabian Vargas,1.0574079516313457
2009,75.0,Fabian Vargas,1.0574079516313457
2010,75.0,Santiago Acasiete,1.0574079516313457
2007,76.5,Fabian Canobbio,1.2615027498981806
2009,75.0,Fabian Canobbio,1.0574079516313457
2010,76.0,Fabian Canobbio,1.1934711504759021
2009,75.0,Marco Padalino,1.0574079516313457
2011,75.5,Nikica Jelavic,1.125439551053624
2012,76.5,Nikica Jelavic,1.2615027498981806
2013,76.875,Nikica Jelavic,1.3125264494648892
2014,74.75,Nikica Jelavic,1.0233921519202065
2015,75.66666666666667,Mile Jedinak,1.1481167508610506
2016,76.0,Mile Jedinak,1.1934711504759021
2007,75.0,Alejandro Dominguez,1.0574079516313457
2009,75.0,Alejandro Dominguez,1.0574079516313457
2010,78.0,Alejandro Dominguez,1.4655975481650154
2013,75.66666666666667,Alejandro Dominguez,1.1481167508610506
2014,76.0,Alejandro Dominguez,1.1934711504759021
2015,76.2,Alejandro Dominguez,1.220683790244814
2007,75.0,Stanislav Vlcek,1.0574079516313457
2009,79.0,Diniyar Bilyaletdinov,1.601660747009572
2010,76.0,Diniyar Bilyaletdinov,1.1934711504759021
2012,75.0,Diniyar Bilyaletdinov,1.0574079516313457
