,k,pk
0,0.0,0.846170748609773
1,1.0,0.12296536686780589
2,2.0,0.02128019201189933
3,3.0,0.004022784510589388
4,4.0,0.0008789277081960009
5,5.0,8.451227963423086e-05
6,6.0,1.690245592684617e-05
7,8.0,3.380491185369234e-05
8,14.0,1.690245592684617e-05
9,15.0,5.0707367780538514e-05
10,16.0,1.690245592684617e-05
11,17.0,1.690245592684617e-05
12,18.0,3.380491185369234e-05
13,21.0,1.690245592684617e-05
14,22.0,5.0707367780538514e-05
15,25.0,1.690245592684617e-05
16,26.0,3.380491185369234e-05
17,27.0,1.690245592684617e-05
18,28.0,1.690245592684617e-05
19,29.0,1.690245592684617e-05
20,30.0,1.690245592684617e-05
21,31.0,1.690245592684617e-05
22,32.0,5.0707367780538514e-05
23,33.0,3.380491185369234e-05
24,34.0,6.760982370738469e-05
25,35.0,3.380491185369234e-05
26,36.0,1.690245592684617e-05
27,37.0,3.380491185369234e-05
28,39.0,6.760982370738469e-05
29,40.0,3.380491185369234e-05
30,42.0,0.0001183171914879232
31,43.0,1.690245592684617e-05
32,45.0,3.380491185369234e-05
33,46.0,0.00015212210334161554
34,47.0,8.451227963423086e-05
35,48.0,6.760982370738469e-05
36,49.0,3.380491185369234e-05
37,50.0,6.760982370738469e-05
38,51.0,5.0707367780538514e-05
39,52.0,1.690245592684617e-05
40,53.0,5.0707367780538514e-05
41,54.0,6.760982370738469e-05
42,55.0,3.380491185369234e-05
43,56.0,5.0707367780538514e-05
44,57.0,6.760982370738469e-05
45,58.0,5.0707367780538514e-05
46,59.0,5.0707367780538514e-05
47,60.0,6.760982370738469e-05
48,61.0,3.380491185369234e-05
49,62.0,3.380491185369234e-05
50,63.0,8.451227963423086e-05
51,64.0,1.690245592684617e-05
52,65.0,5.0707367780538514e-05
53,66.0,6.760982370738469e-05
54,67.0,6.760982370738469e-05
55,68.0,5.0707367780538514e-05
56,69.0,8.451227963423086e-05
57,70.0,3.380491185369234e-05
58,71.0,0.00013521964741476937
59,72.0,6.760982370738469e-05
60,73.0,0.00016902455926846171
61,74.0,8.451227963423086e-05
62,75.0,3.380491185369234e-05
63,76.0,8.451227963423086e-05
64,78.0,5.0707367780538514e-05
65,79.0,5.0707367780538514e-05
66,80.0,3.380491185369234e-05
67,81.0,6.760982370738469e-05
68,82.0,5.0707367780538514e-05
69,83.0,6.760982370738469e-05
70,84.0,6.760982370738469e-05
71,85.0,3.380491185369234e-05
72,86.0,5.0707367780538514e-05
73,87.0,3.380491185369234e-05
74,88.0,3.380491185369234e-05
75,89.0,3.380491185369234e-05
